t_seconds,date,x_m,y_m,z_m,status,earth_umbra,earth_penumbra,moon_umbra,moon_penumbra,any_umbra,any_penumbra,any_eclipse,earth_umbra_g,earth_penumbra_g,moon_umbra_g,moon_penumbra_g
0.0,2024-06-21T00:00:00.000Z,7000000.0,0.0,0.0,full_sunlight,False,False,False,False,False,False,False,0.4331033088934392,0.4239466944309519,2.884039241252616,2.874882626790129
10.0,2024-06-21T00:00:10.000Z,6999593.268794489,-10501.872953383654,74724.70884083172,full_sunlight,False,False,False,False,False,False,False,0.4359950603800444,0.42683844477635874,2.8840205251284443,2.874863909524759
20.0,2024-06-21T00:00:20.000Z,6998373.12244375,-21002.525495496895,149440.7340042611,full_sunlight,False,False,False,False,False,False,False,0.43888743836897065,0.4297308216244056,2.884003618805325,2.8748470020607604
30.0,2024-06-21T00:00:30.000Z,6996339.702739666,-31500.737356891976,224139.39282200648,full_sunlight,False,False,False,False,False,False,False,0.44178011930983574,0.4326235014248506,2.8839885252870343,2.8748319074020494
40.0,2024-06-21T00:00:40.000Z,6993493.245983737,-41995.28855175002,298812.00464391045,full_sunlight,False,False,False,False,False,False,False,0.44467277908678443,0.43551616006197874,2.8839752474058242,2.8748186283810186
50.0,2024-06-21T00:00:50.000Z,6989834.082959617,-52484.95951965422,373449.8918467088,full_sunlight,False,False,False,False,False,False,False,0.44756509304451664,0.43840847288063,2.883963787822692,2.8748071676588056
60.0,2024-06-21T00:01:00.000Z,6985362.6388946725,-62968.53126731367,448044.3808424474,full_sunlight,False,False,False,False,False,False,False,0.450456736014635,0.44130011471254704,2.8839541490276455,2.8747975277255575
70.0,2024-06-21T00:01:10.000Z,6980079.433410573,-73444.78551022125,522586.80308643106,full_sunlight,False,False,False,False,False,False,False,0.45334738234240846,0.44419075990313883,2.883946333339973,2.874789710900703
80.0,2024-06-21T00:01:20.000Z,6973985.080462898,-83912.5048142291,597068.4960845853,full_sunlight,False,False,False,False,False,False,False,0.45623670591385884,0.44708008233856694,2.8839403429085264,2.8747837193332346
90.0,2024-06-21T00:01:30.000Z,6967080.288269797,-94370.47273702538,671480.8044001153,full_sunlight,False,False,False,False,False,False,False,0.4591243801832738,0.4499677554732587,2.883936179711998,2.874779555001983
100.0,2024-06-21T00:01:40.000Z,6959365.859229686,-104817.47396949568,745815.080659345,full_sunlight,False,False,False,False,False,False,False,0.46201007820107004,0.45285345235777036,2.883933845559213,2.8747772197159134
