t_seconds,date,x_m,y_m,z_m,status,earth_umbra,earth_penumbra,moon_umbra,moon_penumbra,any_umbra,any_penumbra,any_eclipse,earth_umbra_g,earth_penumbra_g,moon_umbra_g,moon_penumbra_g
0.0,2026-01-01T00:00:00.000Z,15417945.038576234,-14416533.996490855,3387515.299778662,full_sunlight,False,False,False,False,False,False,False,2.0134482490803514,2.003984565486147,2.5992397330407395,2.589776049446535
300.0,2026-01-01T00:05:00.000Z,16200736.57920906,-13441682.134782342,3725832.673693714,full_sunlight,False,False,False,False,False,False,False,1.9593798458136933,1.9499162177979683,2.6010224786892904,2.5915588506735654
600.0,2026-01-01T00:10:00.000Z,16924054.242036965,-12417485.05005157,4050468.338513367,full_sunlight,False,False,False,False,False,False,False,1.904730313432196,1.8952667441882998,2.602615952898394,2.5931523836544983
900.0,2026-01-01T00:15:00.000Z,17585242.795201764,-11347702.713501496,4360230.218998341,full_sunlight,False,False,False,False,False,False,False,1.8496042547713711,1.84014074727493,2.604015310437336,2.5945518029408943
1200.0,2026-01-01T00:20:00.000Z,18181875.010394804,-10236262.373845339,4653980.841257142,full_sunlight,False,False,False,False,False,False,False,1.7940860940672552,1.784622651065286,2.6052162710352342,2.5957528280332656
1500.0,2026-01-01T00:25:00.000Z,18711760.560943335,-9087244.153984064,4930641.504488116,full_sunlight,False,False,False,False,False,False,False,1.7382448941345177,1.728781518135382,2.6062151641446727,2.5967517881455375
1800.0,2026-01-01T00:30:00.000Z,19172954.052096605,-7904866.0884463955,5189196.237291195,full_sunlight,False,False,False,False,False,False,False,1.6821379491894524,1.6726746424536847,2.6070089741926132,2.5975456674568456
2100.0,2026-01-01T00:35:00.000Z,19563762.154311348,-6693468.656292705,5428695.524129497,full_sunlight,False,False,False,False,False,False,False,1.6258134973461211,1.6163502618781664,2.607595385782603,2.5981321503146484
2400.0,2026-01-01T00:40:00.000Z,19882749.81360399,-5457498.865989077,5648259.788361966,full_sunlight,False,False,False,False,False,False,False,1.5693127971713974,1.5598496347122897,2.6079728282360652,2.5985096657769575
2700.0,2026-01-01T00:45:00.000Z,20128745.51639212,-4201493.950359867,5847082.619156191,full_sunlight,False,False,False,False,False,False,False,1.5126717430991965,1.503208655120201,2.608140518788701,2.598677430809706
3000.0,2026-01-01T00:50:00.000Z,20300845.589679133,-2930064.7311182544,6024433.7305230135,full_sunlight,False,False,False,False,False,False,False,1.455922146095639,1.446459133792885,2.608098503693838,2.5986354913910845
3300.0,2026-01-01T00:55:00.000Z,20398417.5209313,-1647878.713653081,6179661.6416872945,full_sunlight,False,False,False,False,False,False,False,1.3990927723573938,1.389629836647513,2.6078476964309103,2.598384760721029
3600.0,2026-01-01T01:00:00.000Z,20421102.28554314,-359642.9737116657,6312196.069019547,full_sunlight,False,False,False,False,False,False,False,1.3422102095808892,1.3327473510976806,2.607389912177323,2.597927053694114
3900.0,2026-01-01T01:05:00.000Z,20368815.67337369,929913.1016374389,6421550.0207966985,full_sunlight,False,False,False,False,False,False,False,1.2852996144391795,1.2758368335313082,2.606727897678897,2.597265116771026
