0,1,2,table_number,source
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,0,Google Data Centers PUE page
Fleet,1.08,1.09,0,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,0,Google Data Centers PUE page
"Berkeley County, South Carolina",1.08,1.09,0,Google Data Centers PUE page
"Bristow, Virginia",1.07,1.09,0,Google Data Centers PUE page
"Central Ohio (Columbus), Ohio",1.06,1.06,0,Google Data Centers PUE page
"Central Ohio (Lancaster), Ohio",1.04,1.04,0,Google Data Centers PUE page
"Central Ohio (New Albany), Ohio",1.07,1.06,0,Google Data Centers PUE page
"Changua County, Taiwan",1.11,1.13,0,Google Data Centers PUE page
"Council Bluffs, Iowa",1.1,1.11,0,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.08,0,Google Data Centers PUE page
"Douglas County, Georgia",1.07,1.09,0,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.08,0,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.07,0,Google Data Centers PUE page
"Fredericia, Denmark",1.06,1.06,0,Google Data Centers PUE page
"Hamina, Finland",1.1,1.1,0,Google Data Centers PUE page
"Henderson, Nevada",1.08,1.09,0,Google Data Centers PUE page
"Inzai, Japan",1.08,1.1,0,Google Data Centers PUE page
"Jackson County, Alabama",1.09,1.1,0,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.1,0,Google Data Centers PUE page
"London, England",1.26,,0,Google Data Centers PUE page
"Loudoun County, Virginia",1.07,1.08,0,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.08,1.08,0,Google Data Centers PUE page
"Mayes County, Oklahoma",1.08,1.11,0,Google Data Centers PUE page
"Mesa, Arizona",1.22,,0,Google Data Centers PUE page
"Midlothian, Texas",1.08,1.1,0,Google Data Centers PUE page
"Montgomery County, Tennessee",1.09,1.09,0,Google Data Centers PUE page
"Omaha, Nebraska",1.05,1.05,0,Google Data Centers PUE page
"Papillion, Nebraska",1.07,1.09,0,Google Data Centers PUE page
"Quilicura, Chile",1.08,1.08,0,Google Data Centers PUE page
"Red Oak, Texas",1.1,,0,Google Data Centers PUE page
Singapore,1.12,1.12,0,Google Data Centers PUE page
Singapore (2nd facility),1.14,1.14,0,Google Data Centers PUE page
"St. Ghislain, Belgium",1.07,1.08,0,Google Data Centers PUE page
"Storey County, Nevada",1.11,1.15,0,Google Data Centers PUE page
"The Dalles, Oregon",1.1,1.1,0,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.06,0,Google Data Centers PUE page
"The Dalles, Oregon (3rd facility)",1.07,,0,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,1,Google Data Centers PUE page
Fleet,1.08,1.09,1,Google Data Centers PUE page
