period,year,quarter,location,quarterly_pue,ttm_pue,source_url
2016 Q2,2016,Q2,"Berkeley County, South Carolina",1.13,1.13,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"Changhua County, Taiwan",1.20,1.18,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"Council Bluffs, Iowa",1.10,1.10,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"Council Bluffs, Iowa (2nd facility)",1.11,1.12,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"Douglas County, Georgia",1.12,1.11,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"Dublin, Ireland",1.17,1.15,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,Fleet,1.12,1.12,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"Hamina, Finland",1.12,1.11,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"Lenoir, North Carolina",1.10,1.11,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"Mayes County, Oklahoma",1.11,1.11,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"Quilicura, Chile",1.12,1.15,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,Singapore,1.19,1.21,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"St. Ghislain, Belgium",1.09,1.09,https://datacenters.google/efficiency/
2016 Q2,2016,Q2,"The Dalles, Oregon",1.13,1.13,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Berkeley County, South Carolina",1.16,1.13,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Changhua County, Taiwan",1.20,1.18,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Council Bluffs, Iowa",1.14,1.10,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Council Bluffs, Iowa (2nd facility)",1.14,1.12,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Douglas County, Georgia",1.16,1.12,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Dublin, Ireland",1.15,1.15,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,Fleet,1.14,1.12,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Hamina, Finland",1.13,1.12,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Lenoir, North Carolina",1.12,1.11,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Mayes County, Oklahoma",1.15,1.12,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"Quilicura, Chile",1.11,1.12,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,Singapore,1.20,1.21,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"St. Ghislain, Belgium",1.10,1.09,https://datacenters.google/efficiency/
2016 Q3,2016,Q3,"The Dalles, Oregon",1.13,1.13,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Berkeley County, South Carolina",1.10,1.13,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Changhua County, Taiwan",1.15,1.17,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Council Bluffs, Iowa",1.10,1.10,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Council Bluffs, Iowa (2nd facility)",1.10,1.11,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Douglas County, Georgia",1.11,1.12,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Dublin, Ireland",1.17,1.15,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,Fleet,1.11,1.12,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Hamina, Finland",1.12,1.12,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Lenoir, North Carolina",1.10,1.10,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Mayes County, Oklahoma",1.11,1.12,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"Quilicura, Chile",1.11,1.11,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,Singapore,1.19,1.20,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"St. Ghislain, Belgium",1.09,1.09,https://datacenters.google/efficiency/
2016 Q4,2016,Q4,"The Dalles, Oregon",1.12,1.13,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Berkeley County, South Carolina",1.10,1.12,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Changhua County, Taiwan",1.12,1.16,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Council Bluffs, Iowa",1.10,1.11,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Council Bluffs, Iowa (2nd facility)",1.10,1.11,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Douglas County, Georgia",1.11,1.12,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Dublin, Ireland",1.12,1.13,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Eemshaven, Netherlands",1.22,,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,Fleet,1.11,1.12,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Hamina, Finland",1.10,1.12,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Lenoir, North Carolina",1.10,1.10,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Mayes County, Oklahoma",1.11,1.12,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"Quilicura, Chile",1.14,1.12,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,Singapore,1.18,1.19,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"St. Ghislain, Belgium",1.09,1.09,https://datacenters.google/efficiency/
2017 Q1,2017,Q1,"The Dalles, Oregon",1.14,1.13,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Berkeley County, South Carolina",1.13,1.12,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Changhua County, Taiwan",1.15,1.15,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Council Bluffs, Iowa",1.11,1.11,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Council Bluffs, Iowa (2nd facility)",1.10,1.11,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Douglas County, Georgia",1.12,1.12,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Dublin, Ireland",1.12,1.13,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Eemshaven, Netherlands",1.10,,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,Fleet,1.11,1.12,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Hamina, Finland",1.09,1.11,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Lenoir, North Carolina",1.10,1.10,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Mayes County, Oklahoma",1.12,1.12,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"Quilicura, Chile",1.14,1.13,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,Singapore,1.18,1.19,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"St. Ghislain, Belgium",1.09,1.09,https://datacenters.google/efficiency/
2017 Q2,2017,Q2,"The Dalles, Oregon",1.14,1.13,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Berkeley County, South Carolina",1.16,1.13,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Changhua County, Taiwan",1.17,1.15,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Council Bluffs, Iowa",1.15,1.11,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Council Bluffs, Iowa (2nd facility)",1.12,1.10,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Douglas County, Georgia",1.14,1.12,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Dublin, Ireland",1.11,1.12,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Eemshaven, Netherlands",1.11,,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,Fleet,1.13,1.12,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Hamina, Finland",1.09,1.10,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Lenoir, North Carolina",1.12,1.10,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Mayes County, Oklahoma",1.14,1.12,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,"Quilicura, Chile",1.14,1.13,https://datacenters.google/efficiency/
2017 Q3,2017,Q3,Singapore,1.17,1.18,https://datacenters.google/efficiency/
