period,Fleet,"Berkeley County, South Carolina","Bristow, Virginia","Central Ohio (Columbus), Ohio","Central Ohio (Lancaster), Ohio","Central Ohio (New Albany), Ohio","Changhua County, Taiwan","Council Bluffs, Iowa","Council Bluffs, Iowa (2nd facility)","Douglas County, Georgia","Dublin, Ireland","Eemshaven, Netherlands","Fredericia, Denmark","Hamina, Finland","Henderson, Nevada","Inzai, Japan","Jackson County, Alabama","Lenoir, North Carolina","London, England","Loudoun County, Virginia","Loudoun County, Virginia (2nd facility)","Mayes County, Oklahoma","Mesa, Arizona","Midlothian, Texas","Montgomery County, Tennessee","Omaha, Nebraska","Papillion, Nebraska","Quilicura, Chile",RLF-New Campus,"Red Oak, Texas",Singapore,Singapore (2nd facility),"St. Ghislain, Belgium","Storey County, Nevada","The Dalles, Oregon","The Dalles, Oregon (2nd facility)","The Dalles, Oregon (3rd facility)"
2016 Q2,1.12,1.13,,,,,1.2,1.1,1.11,1.12,1.17,,,1.12,,,,1.1,,,,1.11,,,,,,1.12,,,1.19,,1.09,,1.13,,
2016 Q3,1.14,1.16,,,,,1.2,1.14,1.14,1.16,1.15,,,1.13,,,,1.12,,,,1.15,,,,,,1.11,,,1.2,,1.1,,1.13,,
2016 Q4,1.11,1.1,,,,,1.15,1.1,1.1,1.11,1.17,,,1.12,,,,1.1,,,,1.11,,,,,,1.11,,,1.19,,1.09,,1.12,,
2017 Q1,1.11,1.1,,,,,1.12,1.1,1.1,1.11,1.12,1.22,,1.1,,,,1.1,,,,1.11,,,,,,1.14,,,1.18,,1.09,,1.14,,
2017 Q2,1.11,1.13,,,,,1.15,1.11,1.1,1.12,1.12,1.1,,1.09,,,,1.1,,,,1.12,,,,,,1.14,,,1.18,,1.09,,1.14,,
2017 Q3,1.13,1.16,,,,,1.17,1.15,1.12,1.14,1.11,1.11,,1.09,,,,1.12,,,,1.14,,,,,,1.14,,,1.17,,1.09,,1.15,,
2017 Q4,1.1,1.11,,,,,1.13,1.15,1.08,1.1,1.11,1.12,,1.09,,,,1.1,,,,1.09,,,,,,1.13,,,1.17,,1.08,,1.14,,
2018 Q1,1.1,1.1,,,,,1.12,1.14,1.09,1.1,1.11,1.11,,1.09,,,,1.1,,,,1.08,,,,,,1.14,,,1.16,,1.08,,1.14,,
2018 Q2,1.12,1.13,,,,,1.16,1.13,1.1,1.12,1.12,1.11,,1.09,,,,1.11,,,,1.11,,,,,,1.13,,,1.2,,1.08,,1.13,,
2018 Q3,1.13,1.15,,,,,1.17,1.14,1.11,1.16,1.11,1.12,,1.1,,,,1.13,,,,1.13,,,,,,1.12,,,1.18,,1.1,,1.13,1.08,
2018 Q4,1.1,1.1,,,,,1.12,1.11,1.08,1.1,1.12,1.1,,1.09,,,,1.09,,,,1.08,,,,,,1.1,,,1.17,,1.1,,1.11,1.24,
2019 Q1,1.09,1.08,,,,,1.11,1.12,1.08,1.1,1.13,1.09,,1.09,,,,1.09,,,,1.08,,,,,,1.1,,,1.15,,1.09,,1.11,1.07,
2019 Q2,1.11,1.12,,,,,1.14,1.11,1.09,1.13,1.13,1.09,,1.09,,,,1.1,,,,1.11,,,,,,1.09,,,1.15,,1.09,,1.11,1.06,
2019 Q3,1.13,1.14,,,,,1.15,1.14,1.11,1.16,1.13,1.1,,1.09,,,,1.12,,,,1.15,,,,,,1.09,,,1.15,,1.09,,1.12,1.07,
2019 Q4,1.09,1.1,,,,,1.12,1.1,1.07,1.1,1.1,1.08,,1.09,,,,1.08,,,,1.08,,,,,,1.09,,,1.14,,1.08,,1.11,1.08,
2020 Q1,1.09,1.09,,,,,1.11,1.1,1.08,1.09,1.09,1.09,,1.09,,,,1.08,,,,1.1,,,,,,1.09,,,1.14,,1.08,,1.11,1.08,
2020 Q2,1.11,1.11,,,,,1.14,1.11,1.09,1.1,1.09,1.09,,1.09,,,1.19,1.09,,,,1.12,,,1.17,,,1.08,,,1.15,,1.08,,1.11,1.08,
2020 Q3,1.13,1.14,,,,,1.15,1.13,1.11,1.13,1.09,1.1,,1.09,,,1.21,1.12,,,,1.16,,,1.2,,,1.08,,,1.14,,1.09,,1.11,1.08,
